time,thrust
0,0
0.0429999999999978,5.3675415
0.136999999999999,28.8332577
0.183999999999996,94.1058585
0.231,215.4533022
0.278999999999995,328.1298831
0.373999999999994,596.5010721
0.420999999999998,690.7562388
0.467999999999995,755.0695197
0.561999999999996,806.5108053
0.608999999999993,860.5680255
0.656999999999995,908.4076677
0.703999999999999,936.9180783
0.797999999999993,962.0639532
0.845999999999995,988.385949
0.891999999999995,1007.4230388
0.986999999999993,1013.7235113
1.035,1016.4319542
1.082,1021.5569925
1.129,1033.8252804
1.224,1018.7689905
1.271,1021.4244594
1.318,1008.1460358
1.414,1001.7117549
1.461,973.370763
1.50799999999999,957.4339275
1.556,960.7406823
1.651,940.2735888
1.698,908.7952608
1.74599999999999,764.0944254
1.84,639.8600949
1.887,569.6771967
1.934,520.9987995
1.982,461.1480876
2.077,429.7401954
2.12399999999999,394.7697036
2.172,373.5406674
2.219,351.2922741
2.314,328.3418772
2.36199999999999,302.2401159
2.409,291.7114353
2.50499999999999,264.4593534
2.553,254.652885
2.6,240.134085
2.648,225.3539466
2.74299999999999,215.4526155
2.791,203.5301301
2.838,194.6208843
2.933,187.0760133
2.981,178.3278477
3.029,168.2779932
3.076,161.9608437
3.172,153.3729735
3.219,152.1808623
3.26699999999999,142.2983664
3.31299999999999,138.0518136
3.408,130.7600406
3.455,126.0004248
3.50199999999999,121.6158453
3.595,114.6880233
3.64199999999999,108.7779888
3.69,101.3244489
3.784,93.8814057
3.83099999999999,83.5554978
3.879,73.0378044
3.927,60.7730481
4.021,48.0579147
4.06899999999999,37.3234203
4.116,27.3935421
4.164,22.1869827
4.25799999999999,19.6820973
4.305,17.7034203
